ID,total,param,local,global,compiles,time,J,GFLOP/s,GFLOP/watt,status
310,578,0   64   16   32    8    8    8    8    2    1    2    0    0    1    1    1,8       8,512    2048,OK     10 ms,61.51 ms,7.37,2234.2,18.7,results match
311,578,0   64   16   32    8    8    8    8    2    2    1    0    0    0    0    1,8       8,512    2048,OK     10 ms,48.81 ms,5.81,2815.6,23.7,results match
312,578,0   64   16   32    8    8    8    8    2    2    1    0    0    1    1    1,8       8,512    2048,OK     10 ms,53.11 ms,6.65,2587.4,20.7,results match
313,578,0   64   16   32    8    8    8    8    2    2    2    0    0    0    0    1,8       8,512    2048,OK      9 ms,45.41 ms,5.46,3026.2,25.1,results match
314,578,0   64   16   32    8    8    8    8    2    2    2    0    0    1    1    1,8       8,512    2048,OK      9 ms,51.58 ms,6.41,2664.1,21.4,results match
315,578,0   64   16   32    8    8    8    8    2    4    1    0    0    0    0    1,8       8,512    2048,OK      9 ms,43.88 ms,5.25,3131.6,26.2,results match
316,578,0   64   16   32    8    8    8    8    2    4    1    0    0    1    1    1,8       8,512    2048,OK     10 ms,47.66 ms,6.15,2883.5,22.3,results match
317,578,0   64   16   32    8    8    8    8    2    4    2    0    0    0    0    1,8       8,512    2048,OK      9 ms,42.63 ms,5.35,3223.5,25.7,results match
318,578,0   64   16   32    8    8    8    8    2    4    2    0    0    1    1    1,8       8,512    2048,OK     10 ms,46.86 ms,6.04,2932.8,22.7,results match
319,578,0   64   16   32    8   16    8   16    2    1    1    0    0    0    0    1,8      16,512    4096,OK      9 ms,80.40 ms,9.35,1709.2,14.7,results match
320,578,0   64   16   32    8   16    8   16    2    1    1    0    0    1    1    1,8      16,512    4096,OK      9 ms,88.31 ms,9.52,1556.1,14.4,results match
321,578,0   64   16   32    8   16    8   16    2    2    1    0    0    0    0    1,8      16,512    4096,OK      9 ms,70.91 ms,8.39,1938.1,16.4,results match
322,578,0   64   16   32    8   16    8   16    2    2    1    0    0    1    1    1,8      16,512    4096,OK      9 ms,74.22 ms,8.43,1851.4,16.3,results match
323,578,0   64   16   32    8   16    8   16    2    4    1    0    0    0    0    1,8      16,512    4096,OK      9 ms,64.40 ms,7.92,2133.7,17.4,results match
324,578,0   64   16   32    8   16    8   16    2    4    1    0    0    1    1    1,8      16,512    4096,OK     10 ms,67.02 ms,7.96,2050.4,17.3,results match
325,578,0   64   16   32   16    8   16    8    2    1    1    0    0    0    0    1,16       8,1024    2048,OK     13 ms,61.29 ms,7.28,2242.0,18.9,results match
326,578,0   64   16   32   16    8   16    8    2    1    1    0    0    1    1    1,16       8,1024    2048,OK     22 ms,63.66 ms,7.46,2158.6,18.4,results match
327,578,0   64   16   32   16    8   16    8    2    1    2    0    0    0    0    1,16       8,1024    2048,OK     12 ms,54.84 ms,6.73,2506.0,20.4,results match
328,578,0   64   16   32   16    8   16    8    2    1    2    0    0    1    1    1,16       8,1024    2048,OK     10 ms,58.79 ms,6.95,2337.5,19.8,results match
329,578,0   64   16   32   16    8   16    8    2    2    1    0    0    0    0    1,16       8,1024    2048,OK     10 ms,59.15 ms,7.24,2323.2,19.0,results match
330,578,0   64   16   32   16    8   16    8    2    2    1    0    0    1    1    1,16       8,1024    2048,OK     10 ms,52.55 ms,6.44,2615.3,21.4,results match
331,578,0   64   16   32   16    8   16    8    2    2    2    0    0    0    0    1,16       8,1024    2048,OK     12 ms,52.62 ms,6.66,2611.4,20.6,results match
332,578,0   64   16   32   16    8   16    8    2    2    2    0    0    1    1    1,16       8,1024    2048,OK     11 ms,51.55 ms,6.36,2665.6,21.6,results match
333,578,0   64   16   32   16    8   16    8    2    4    1    0    0    0    0    1,16       8,1024    2048,OK     11 ms,47.25 ms,5.24,2908.2,26.2,results match
334,578,0   64   16   32   16    8   16    8    2    4    1    0    0    1    1    1,16       8,1024    2048,OK     10 ms,45.46 ms,5.91,3022.7,23.3,results match
335,578,0   64   16   32   16    8   16    8    2    4    2    0    0    0    0    1,16       8,1024    2048,OK     10 ms,45.33 ms,5.69,3031.4,24.1,results match
336,578,0   64   16   32   16    8   16    8    2    4    2    0    0    1    1    1,16       8,1024    2048,OK      9 ms,44.63 ms,5.75,3079.4,23.9,results match
337,578,0   64   16   32   16   16   16   16    2    1    1    0    0    0    0    1,16      16,1024    4096,OK     10 ms,86.95 ms,10.15,1580.6,13.5,results match
338,578,0   64   16   32   16   16   16   16    2    1    1    0    0    1    1    1,16      16,1024    4096,OK     12 ms,82.22 ms,9.23,1671.5,14.9,results match
339,578,0   64   16   32   16   16   16   16    2    2    1    0    0    0    0    1,16      16,1024    4096,OK     18 ms,76.54 ms,9.26,1795.5,14.8,results match
340,578,0   64   16   32   16   16   16   16    2    2    1    0    0    1    1    1,16      16,1024    4096,OK     15 ms,72.99 ms,8.46,1882.7,16.2,results match
341,578,0   64   16   32   16   16   16   16    2    4    1    0    0    0    0    1,16      16,1024    4096,OK     13 ms,63.72 ms,7.89,2156.8,17.4,results match
342,578,0   64   16   32   16   16   16   16    2    4    1    0    0    1    1    1,16      16,1024    4096,OK     10 ms,56.14 ms,6.90,2448.1,19.9,results match
343,578,0   64   16   32   32    8   32    8    2    1    1    0    0    0    0    1,32       8,2048    2048,OK     10 ms,78.84 ms,9.30,1743.1,14.8,results match
344,578,0   64   16   32   32    8   32    8    2    1    1    0    0    1    1    1,32       8,2048    2048,OK      9 ms,68.89 ms,7.96,1994.7,17.3,results match
345,578,0   64   16   32   32    8   32    8    2    1    2    0    0    0    0    1,32       8,2048    2048,OK      9 ms,71.58 ms,8.60,1919.8,16.0,results match
346,578,0   64   16   32   32    8   32    8    2    1    2    0    0    1    1    1,32       8,2048    2048,OK     10 ms,60.81 ms,7.17,2259.9,19.2,results match
347,578,0   64   16   32   32    8   32    8    2    2    1    0    0    0    0    1,32       8,2048    2048,OK      8 ms,70.73 ms,8.37,1942.8,16.4,results match
348,578,0   64   16   32   32    8   32    8    2    2    1    0    0    1    1    1,32       8,2048    2048,OK      9 ms,51.55 ms,6.26,2665.7,22.0,results match
349,578,0   64   16   32   32    8   32    8    2    2    2    0    0    0    0    1,32       8,2048    2048,OK      9 ms,57.56 ms,7.05,2387.3,19.5,results match
350,578,0   64   16   32   32    8   32    8    2    2    2    0    0    1    1    1,32       8,2048    2048,OK      9 ms,50.31 ms,6.21,2731.7,22.1,results match
351,578,0   64   16   32   32   16   32   16    2    1    1    0    0    0    0    1,32      16,2048    4096,OK     10 ms,110.68 ms,12.73,1241.7,10.8,results match
352,578,0   64   16   32   32   16   32   16    2    1    1    0    0    1    1    1,32      16,2048    4096,OK      9 ms,87.88 ms,9.86,1563.8,13.9,results match
353,578,0   64   16   32   32   16   32   16    2    2    1    0    0    0    0    1,32      16,2048    4096,OK      8 ms,88.06 ms,10.40,1560.5,13.2,results match
354,578,0   64   16   32   32   16   32   16    2    2    1    0    0    1    1    1,32      16,2048    4096,OK     11 ms,69.02 ms,8.05,1991.0,17.1,results match
355,578,0   64   32   32    8    8    8    8    2    1    1    0    0    0    0    1,8       8,512    1024,OK     10 ms,39.51 ms,4.64,3478.5,29.6,results match
356,578,0   64   32   32    8    8    8    8    2    1    1    0    0    1    1    1,8       8,512    1024,OK      8 ms,42.94 ms,5.09,3200.5,27.0,results match
357,578,0   64   32   32    8    8    8    8    2    1    2    0    0    0    0    1,8       8,512    1024,OK     11 ms,37.43 ms,4.39,3671.9,31.3,results match
358,578,0   64   32   32    8    8    8    8    2    1    2    0    0    1    1    1,8       8,512    1024,OK     10 ms,40.49 ms,4.78,3393.7,28.7,results match
359,578,0   64   32   32    8    8    8    8    2    1    4    0    0    0    0    1,8       8,512    1024,OK      9 ms,34.83 ms,4.10,3945.6,33.5,results match
360,578,0   64   32   32    8    8    8    8    2    1    4    0    0    1    1    1,8       8,512    1024,OK     10 ms,39.32 ms,4.69,3494.6,29.3,results match
361,578,0   64   32   32    8    8    8    8    2    2    1    0    0    0    0    1,8       8,512    1024,OK     11 ms,34.42 ms,4.02,3992.7,34.1,results match
362,578,0   64   32   32    8    8    8    8    2    2    1    0    0    1    1    1,8       8,512    1024,OK     10 ms,35.85 ms,4.37,3833.5,31.5,results match
363,578,0   64   32   32    8    8    8    8    2    2    2    0    0    0    0    1,8       8,512    1024,OK     10 ms,34.61 ms,4.07,3970.9,33.7,results match
364,578,0   64   32   32    8    8    8    8    2    2    2    0    0    1    1    1,8       8,512    1024,OK     10 ms,35.65 ms,4.35,3854.2,31.6,results match
365,578,0   64   32   32    8    8    8    8    2    2    4    0    0    0    0    1,8       8,512    1024,OK      9 ms,32.17 ms,3.78,4271.2,36.3,results match
366,578,0   64   32   32    8    8    8    8    2    2    4    0    0    1    1    1,8       8,512    1024,OK     10 ms,34.69 ms,4.25,3961.9,32.3,results match
367,578,0   64   32   32    8    8    8    8    2    4    1    0    0    0    0    1,8       8,512    1024,OK     10 ms,33.81 ms,4.06,4064.7,33.9,results match
368,578,0   64   32   32    8    8    8    8    2    4    1    0    0    1    1    1,8       8,512    1024,OK      9 ms,32.72 ms,4.11,4199.6,33.5,results match
369,578,0   64   32   32    8    8    8    8    2    4    2    0    0    0    0    1,8       8,512    1024,OK      9 ms,32.37 ms,3.82,4245.9,35.9,results match
370,578,0   64   32   32    8    8    8    8    2    4    2    0    0    1    1    1,8       8,512    1024,OK      8 ms,32.49 ms,4.06,4229.0,33.8,results match
371,578,0   64   32   32    8    8    8    8    2    4    4    0    0    0    0    1,8       8,512    1024,OK      9 ms,29.59 ms,3.55,4644.4,38.7,results match
372,578,0   64   32   32    8    8    8    8    2    4    4    0    0    1    1    1,8       8,512    1024,OK      9 ms,32.06 ms,4.01,4286.3,34.2,results match
373,578,0   64   32   32    8   16    8   16    2    1    1    0    0    0    0    1,8      16,512    2048,OK      8 ms,50.50 ms,5.62,2721.4,24.5,results match
