|   ID | total |                                                                           param |      local      |      global     |       compiles |         time |          J |  GFLOP/s |     GFLOP/watt |            status |
x------x-------x---------------------------------------------------------------------------------x-----------------x-----------------x----------------x--------------x------------x----------x----------------x-------------------x
|   56 |   578 |    0   16   64   32    8    8    8    8    2    1    1    0    0    1    1    1 |       8       8 |    2048     512 |   OK      9 ms |     38.34 ms |       7.50 |   3583.9 |           18.3 |     results match |
|   57 |   578 |    0   16   64   32    8    8    8    8    2    1    2    0    0    0    0    1 |       8       8 |    2048     512 |   OK     10 ms |     24.25 ms |       4.81 |   5667.5 |           28.6 |     results match |
|   58 |   578 |    0   16   64   32    8    8    8    8    2    1    2    0    0    1    1    1 |       8       8 |    2048     512 |   OK      9 ms |     25.80 ms |       5.11 |   5327.1 |           26.9 |     results match |
|   59 |   578 |    0   16   64   32    8    8    8    8    2    1    4    0    0    0    0    1 |       8       8 |    2048     512 |   OK      9 ms |     23.48 ms |       4.65 |   5853.7 |           29.6 |     results match |
|   60 |   578 |    0   16   64   32    8    8    8    8    2    1    4    0    0    1    1    1 |       8       8 |    2048     512 |   OK      8 ms |     21.93 ms |       4.36 |   6266.2 |           31.5 |     results match |
|   61 |   578 |    0   16   64   32    8    8    8    8    2    2    1    0    0    0    0    1 |       8       8 |    2048     512 |   OK     14 ms |     25.07 ms |       4.94 |   5481.2 |           27.8 |     results match |
|   62 |   578 |    0   16   64   32    8    8    8    8    2    2    1    0    0    1    1    1 |       8       8 |    2048     512 |   OK      9 ms |     27.78 ms |       5.50 |   4947.7 |           25.0 |     results match |
|   63 |   578 |    0   16   64   32    8    8    8    8    2    2    2    0    0    0    0    1 |       8       8 |    2048     512 |   OK     12 ms |     22.50 ms |       4.45 |   6108.1 |           30.9 |     results match |
|   64 |   578 |    0   16   64   32    8    8    8    8    2    2    2    0    0    1    1    1 |       8       8 |    2048     512 |   OK      9 ms |     24.83 ms |       4.89 |   5535.3 |           28.1 |     results match |
|   65 |   578 |    0   16   64   32    8    8    8    8    2    2    4    0    0    0    0    1 |       8       8 |    2048     512 |   OK     10 ms |     20.99 ms |       4.15 |   6547.5 |           33.1 |     results match |
